t,connected,armed,guided,manual_input,mode,system_status
217.42326951026917,True,True,False,True,STABILIZED,4
218.42320275306702,True,True,False,True,STABILIZED,4
219.42442655563354,True,True,False,True,STABILIZED,4
220.42466616630554,True,True,False,True,STABILIZED,4
221.42772459983826,True,True,False,True,STABILIZED,4
222.42772245407104,True,True,False,True,STABILIZED,4
223.4299614429474,True,True,False,True,STABILIZED,4
224.43127131462097,True,True,False,True,STABILIZED,4
225.43267798423767,True,True,False,True,STABILIZED,4
226.4318811893463,True,True,False,True,STABILIZED,4
227.4324562549591,True,True,False,True,STABILIZED,4
228.43500018119812,True,True,False,True,STABILIZED,4
229.43451714515686,True,True,False,True,STABILIZED,4
230.43455028533936,True,True,False,True,STABILIZED,4
231.43913650512695,True,True,False,True,STABILIZED,4
232.43706250190735,True,True,False,True,STABILIZED,4
233.442556142807,True,True,False,True,STABILIZED,4
234.43961811065674,True,True,False,True,STABILIZED,4
235.44135642051697,True,True,False,True,STABILIZED,4
236.43940353393555,True,True,False,True,STABILIZED,4
237.44196891784668,True,True,False,True,STABILIZED,4
238.44287395477295,True,True,False,True,STABILIZED,4
239.4415717124939,True,True,False,True,STABILIZED,4
240.44523668289185,True,True,False,True,STABILIZED,4
241.44440937042236,True,True,False,True,STABILIZED,4
242.44556307792664,True,False,False,True,STABILIZED,3
243.4454128742218,True,False,False,True,STABILIZED,3
244.4472577571869,True,False,False,True,STABILIZED,3
245.44670343399048,True,False,False,True,STABILIZED,3
246.44782161712646,True,False,False,True,STABILIZED,3
247.4481647014618,True,False,False,True,STABILIZED,3
248.44886231422424,True,False,False,True,STABILIZED,3
249.45003032684326,True,False,False,True,STABILIZED,3
250.45286226272583,True,False,False,True,STABILIZED,3
251.4504325389862,True,False,False,True,STABILIZED,3
252.45199179649353,True,False,False,True,STABILIZED,3
253.45090293884277,True,False,False,True,STABILIZED,3
254.45439791679382,True,False,False,True,STABILIZED,3
255.45335483551025,True,False,False,True,STABILIZED,3
256.4528248310089,True,False,False,True,STABILIZED,3
257.45344376564026,True,False,False,True,STABILIZED,3
258.4552240371704,True,False,False,True,STABILIZED,3
259.4563114643097,True,False,False,True,STABILIZED,3
260.45428705215454,True,False,False,True,STABILIZED,3
261.45558762550354,True,False,False,True,STABILIZED,3
262.4575123786926,True,False,False,True,STABILIZED,3
263.45652079582214,True,False,False,True,STABILIZED,3
264.4561915397644,True,True,False,True,STABILIZED,4
265.45851016044617,True,True,False,True,STABILIZED,4
266.4589865207672,True,True,False,True,STABILIZED,4
267.4610586166382,True,True,False,True,STABILIZED,4
268.45788979530334,True,True,False,True,STABILIZED,4
269.4613299369812,True,True,False,True,STABILIZED,4
270.46110796928406,True,True,False,True,STABILIZED,4
271.4603729248047,True,True,False,True,STABILIZED,4
272.4597680568695,True,True,False,True,STABILIZED,4
273.46308732032776,True,True,False,True,STABILIZED,4
274.46227288246155,True,True,False,True,STABILIZED,4
275.4617383480072,True,True,False,True,STABILIZED,4
276.46146750450134,True,True,False,True,STABILIZED,4
277.4634289741516,True,True,False,True,STABILIZED,4
278.46284198760986,True,True,False,True,STABILIZED,4
