t,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,rssi
190.6784746646881,1514,1514,1326,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.78154277801514,1514,1514,1326,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.88007807731628,1514,1514,1326,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
190.979905128479,1514,1514,1331,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.07896423339844,1514,1514,1335,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.1788945198059,1514,1514,1337,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.2807970046997,1514,1514,1340,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.38049793243408,1514,1514,1347,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.4818892478943,1514,1514,1356,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.5878415107727,1514,1514,1359,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.68177199363708,1514,1514,1363,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.78121089935303,1514,1514,1373,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.88053727149963,1514,1514,1372,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
191.9825689792633,1514,1514,1357,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.08335065841675,1514,1514,1356,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.18285274505615,1514,1514,1347,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.28132939338684,1514,1514,1332,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.38205313682556,1514,1514,1278,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.48353910446167,1514,1514,1260,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.5835886001587,1514,1514,1250,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.68215990066528,1514,1514,1242,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.78419280052185,1514,1514,1236,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.8838758468628,1514,1514,1238,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
192.98311853408813,1505,1514,1253,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.08325672149658,1428,1514,1254,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.18511867523193,1385,1514,1257,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.28453731536865,1383,1514,1257,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.38457775115967,1514,1514,1258,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.48630380630493,1514,1514,1260,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.5855417251587,1514,1514,1287,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.68466091156006,1514,1514,1305,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.78640389442444,1514,1514,1317,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.88575887680054,1514,1514,1328,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
193.98550701141357,1514,1514,1333,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.08709001541138,1514,1514,1367,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.1888406276703,1514,1514,1380,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.2859947681427,1514,1514,1383,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.3880479335785,1514,1514,1357,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.48747205734253,1514,1514,1298,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.58663868904114,1514,1514,1223,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.6885108947754,1514,1514,1087,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.78793692588806,1514,1514,1065,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.8876371383667,1514,1514,1047,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
194.98966670036316,1514,1514,1050,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
195.0887463092804,1514,1514,1048,1514,1024,2003,1024,1514,1514,1514,1514,1514,1514,1514,1514,1514,998,998,43
